,processing time,transfer time,latency time,total
1,19.19200,921.98400,480.00000,1421.17600
2,19.19200,461.18400,120.00000,600.37600
3,19.19224,307.58784,53.33400,380.11408
4,19.19200,230.78400,30.00000,279.97600
5,19.19200,184.70400,19.20000,223.09600
6,19.19296,153.99170,13.33400,186.51866
8,19.19200,115.58400,7.50000,142.27600
10,19.19200,92.54400,4.80000,116.53600
12,19.19584,77.19944,3.33400,99.72928
15,19.19800,61.84332,2.13400,83.17532
16,19.19200,57.98400,1.87500,79.05100
20,19.19200,46.46400,1.20000,66.85600
24,19.20735,38.81503,0.83400,58.85638
25,19.19200,37.24800,0.76800,57.20800
30,19.21599,31.14288,0.53400,50.89287
40,19.19200,23.42400,0.30000,42.91600
48,19.25341,19.64667,0.20900,39.10908
50,19.19200,18.81600,0.19200,38.20000
60,19.28796,15.82272,0.13400,35.24468
75,19.34194,12.77100,0.08600,32.19894
80,19.19200,11.90400,0.07500,31.17100
100,19.19200,9.60000,0.04800,28.84000
120,19.57584,8.22528,0.03400,27.83512
150,19.79175,6.73200,0.02200,26.54575
200,19.19200,4.99200,0.01200,24.19600
240,20.72736,4.56192,0.00900,25.29828
300,21.59100,3.88800,0.00600,25.48500
400,19.19200,2.68800,0.00300,21.88300
600,28.78800,2.88000,0.00200,31.67000
1200,57.57600,3.45600,0.00100,61.03300
