Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,50,2.914798,6.163498
50,55,2.914798,5.759538
50,60,2.898600,5.316321
50,65,2.914798,5.033023
50,70,2.916700,4.705900
50,75,2.914798,4.617634
50,80,2.912450,4.448450
50,85,2.914798,4.276250
50,90,2.914798,4.195898
50,95,2.914798,4.134908
50,100,2.914550,4.087350
50,105,2.914798,4.076560
50,110,2.914798,3.978091
50,115,2.914752,3.980898
50,120,2.914617,4.131831
50,125,2.914666,4.120266
50,130,2.914798,4.038150
50,135,2.914800,3.964513
50,140,2.914550,3.925450
50,145,2.914480,3.973740
50,150,2.914798,3.973898
50,155,2.912450,3.907048
50,160,2.912450,3.872997
50,165,2.914798,3.846720
50,170,2.914740,3.820568
50,175,2.914798,3.878439
50,180,2.914798,3.892951
50,185,2.914800,3.925625
50,190,2.914690,3.899730
50,195,2.914798,3.880617
50,200,2.914798,3.860045
50,205,2.914617,3.832679
50,210,2.914798,3.846548
50,215,2.914733,3.856679
50,220,2.914798,3.862799
50,225,2.914675,3.837866
50,230,2.914798,3.844433
50,235,2.914641,3.828024
50,240,2.914798,3.817674
50,245,2.914798,3.810869
50,250,2.914798,3.811110
50,255,2.914798,3.807980
50,260,2.914664,3.802580
50,265,2.914798,3.798710
50,270,2.914798,3.794416
50,275,2.914798,3.831137
50,280,2.914798,3.821110
50,285,2.914798,3.810116
50,290,2.914798,3.806933
50,295,2.914798,3.792450
50,300,2.914798,3.783455
50,305,2.914798,3.777791
50,310,2.912450,3.765763
50,315,2.914798,3.770420
50,320,2.914798,3.811504
50,325,2.914798,3.773565
50,330,2.914729,3.770456
50,335,2.914798,3.759885
50,340,2.914798,3.768105
50,345,2.914798,3.760358
50,350,2.914798,3.759598
50,355,2.909400,3.752401
50,360,2.914798,3.754967
50,365,2.914798,3.762468
50,370,2.914798,3.754178
50,375,2.914798,3.766045
50,380,2.914730,3.813588
50,385,2.914798,3.755334
50,390,2.914798,3.751606
50,395,2.914798,3.808778
50,400,2.914798,3.805407
50,405,2.914798,3.802001
50,410,2.914617,3.799736
50,415,2.914800,3.794306
50,420,2.914798,3.788990
50,425,2.914798,3.785396
50,430,2.914798,3.780674
50,435,2.914798,3.775130
50,440,2.914798,3.768365
50,445,2.914798,3.764043
50,450,2.914700,3.756779
50,455,2.914798,3.748900
50,460,2.914798,3.741843
50,465,2.914798,3.738022
50,470,2.914798,3.754760
50,475,2.914798,3.831457
50,480,2.914798,3.827098
50,485,2.914798,3.820589
50,490,2.914798,3.812840
50,495,2.914798,3.806092
50,500,2.914798,3.796293
50,505,2.914798,3.789014
50,510,2.914798,3.781035
50,515,2.914798,3.773535
50,520,2.914798,3.764344
50,525,2.914798,3.754662
50,530,2.914798,3.752848
50,535,2.914798,3.751500
50,540,2.914798,3.751980
50,545,2.914798,3.751534
50,550,2.914798,3.752607
50,555,2.907200,3.842473
50,560,2.914798,3.850598
50,565,2.914798,3.854258
50,570,2.914798,3.858843
50,575,2.914798,3.862047
50,580,2.914798,3.865869
50,585,2.914798,3.870560
50,590,2.914798,3.874248
50,595,2.914798,3.877860
50,600,2.914798,3.881398
50,605,2.914798,3.884860
50,610,2.914798,3.888248
50,615,2.914617,3.890989
50,620,2.912450,3.725521
50,625,2.914798,3.723901
50,630,2.914798,3.725567
50,635,2.914798,3.726908
50,640,2.914798,3.764145
50,645,2.914798,3.762756
50,650,2.914798,3.761774
50,655,2.914798,3.760250
50,660,2.914798,3.759764
50,665,2.914798,3.759888
50,670,2.914798,3.758638
50,675,2.914798,3.735692
50,680,2.914798,3.738524
50,685,2.914798,3.739983
50,690,2.914798,3.931140
50,695,2.914798,3.932824
50,700,2.914798,3.935217
50,705,2.914798,3.936760
50,710,2.909400,3.933750
50,715,2.914798,3.939121
50,720,2.914798,3.941317
50,725,2.914798,3.762742
50,730,2.914798,3.759680
50,735,2.914798,3.755975
50,740,2.914798,3.751830
50,745,2.914798,3.948507
50,750,2.914798,3.950448
50,755,2.914798,3.951436
50,760,2.914798,3.952798
50,765,2.914798,3.953860
50,770,2.914798,3.954848
50,775,2.914798,3.955760
50,780,2.914798,3.956598
50,785,2.914798,3.957360
50,790,2.914798,3.958048
50,795,2.914798,3.958660
50,800,2.914798,3.959198
50,805,2.914798,3.959660
50,810,2.914798,3.959848
50,815,2.914798,3.959718
50,820,2.914617,3.960041
50,825,2.914798,3.959857
50,830,2.914738,3.960274
50,835,2.914798,3.959629
50,840,2.914798,3.959698
50,845,2.914798,3.959560
50,850,2.914798,3.959288
50,855,2.914798,3.959060
50,860,2.914798,3.958698
50,865,2.914798,3.958260
50,870,2.914798,3.957748
50,875,2.914798,3.957160
50,880,2.914798,3.956498
50,885,2.914798,3.955760
50,890,2.914798,3.954948
50,895,2.914798,3.954060
50,900,2.914798,3.953098
50,905,2.914798,3.951140
50,910,2.914798,3.950948
